":-)","feliz"
":)","feliz"
";-)","feliz"
":-(","triste"
":(","triste"
";-(","triste"
":D","sonrisa"
":*","beso"
":o","sonrisa"
"sz","corazón"
"+1","me gusta"
"fb","facebook"
"omg","oh mi dios"
"pls","por favor"
"plz","por favor"
"xp" ,"que asco"
"xoxo","beso y abrazo"
"lol","risa a carcajadas"
"wtf","que chingados"
"thx","gracias"
"tks","gracias"
"tmb","también"
"cq","la escuela secundaria"
"ntp","no te preocupes"
"xd","estoy feliz"
"tqm","te quiero mucho"
"tkm","te quiero mucho"
"tq","te quiero"
"np","no hay problema"
"salu2","saludos"
"tp","tampoco"
"ppio","principio"
"hsta","hasta"
"knto","cuanto"
"acbo","acabo"
"aki","aquí"
"bss","besos"
"cmo","como"
"dfcl","dificil"
"drmda","dormida"
"maps","mejores amigas por siempre"
"gns","ganas"
"mtt","metete"
"qtl","que tal"
"qno","que no"
"qsi","que si"
"qtpsa","que te pasa"
"sk","es que"
"sts","¿estás?"
"wnas","hola"
"xao","adios"
"xk","porque"
"xq","porque"
"1bst","un besito"
"4u","para ti"
"4s","para nosotros"
"bb","bye bye"
"noob","novato"
"cya","te veo luego"
"xolo","la vida solo es una"
